model,file_name,item_number,formula
EleutherAI/pythia-70m,npz_obj_mod.json,22,(9.378131866455078 > 8.907573699951172 ) &  (9.378131866455078 > 9.796992301940918 ) & ((9.378131866455078 - 8.907573699951172 ) > (9.796992301940918 - 8.677518844604492 ))
EleutherAI/pythia-70m,npi_src_any.json,1,( 6.610689640045166 < 8.408431053161621 ) & ( 3.0779292583465576 < 2.3387908935546875 ) & ( 6.610689640045166 < 2.3387908935546875 )
EleutherAI/pythia-70m,npi_src_any.json,2,( 7.14019775390625 < 8.525630950927734 ) & ( 3.449927806854248 < 3.3038623332977295 ) & ( 7.14019775390625 < 3.3038623332977295 )
EleutherAI/pythia-70m,npi_src_any.json,3,( 7.220161437988281 < 8.77188777923584 ) & ( 3.957613945007324 < 4.741049289703369 ) & ( 7.220161437988281 < 4.741049289703369 )
EleutherAI/pythia-70m,npi_src_any.json,4,( 6.380582809448242 < 8.019319534301758 ) & ( 3.7332687377929688 < 2.527202606201172 ) & ( 6.380582809448242 < 2.527202606201172 )
EleutherAI/pythia-70m,npi_src_any.json,5,( 5.905892372131348 < 7.392597675323486 ) & ( 3.8789193630218506 < 4.715776443481445 ) & ( 5.905892372131348 < 4.715776443481445 )
EleutherAI/pythia-70m,npi_src_any.json,6,( 5.985716819763184 < 7.477243423461914 ) & ( 2.9498462677001953 < 3.3119471073150635 ) & ( 5.985716819763184 < 3.3119471073150635 )
EleutherAI/pythia-70m,npi_src_any.json,7,( 6.544425964355469 < 7.907193183898926 ) & ( 2.796048641204834 < 2.1637046337127686 ) & ( 6.544425964355469 < 2.1637046337127686 )
EleutherAI/pythia-70m,npi_src_any.json,8,( 7.111676216125488 < 8.454885482788086 ) & ( 6.267081260681152 < 7.073225021362305 ) & ( 7.111676216125488 < 7.073225021362305 )
EleutherAI/pythia-70m,npi_src_any.json,9,( 6.208159446716309 < 7.498900413513184 ) & ( 4.764027118682861 < 5.7439680099487305 ) & ( 6.208159446716309 < 5.7439680099487305 )
EleutherAI/pythia-70m,npi_src_any.json,11,( 7.23459005355835 < 8.015810012817383 ) & ( 3.936840534210205 < 3.999579906463623 ) & ( 7.23459005355835 < 3.999579906463623 )
EleutherAI/pythia-70m,npi_src_any.json,12,( 6.868796348571777 < 8.024444580078125 ) & ( 4.963204383850098 < 5.209619998931885 ) & ( 6.868796348571777 < 5.209619998931885 )
EleutherAI/pythia-70m,npi_src_any.json,13,( 6.037473201751709 < 7.756302833557129 ) & ( 3.2290210723876953 < 2.955251693725586 ) & ( 6.037473201751709 < 2.955251693725586 )
EleutherAI/pythia-70m,npi_src_any.json,14,( 5.413760185241699 < 7.020986080169678 ) & ( 3.297917127609253 < 4.274770736694336 ) & ( 5.413760185241699 < 4.274770736694336 )
EleutherAI/pythia-70m,npi_src_any.json,15,( 5.919717788696289 < 7.160216331481934 ) & ( 3.977734327316284 < 4.7009100914001465 ) & ( 5.919717788696289 < 4.7009100914001465 )
EleutherAI/pythia-70m,npi_src_any.json,16,( 5.4115729331970215 < 5.955862045288086 ) & ( 3.9903221130371094 < 3.991302967071533 ) & ( 5.4115729331970215 < 3.991302967071533 )
EleutherAI/pythia-70m,npi_src_any.json,17,( 7.490662574768066 < 8.610161781311035 ) & ( 5.596484184265137 < 6.501897811889648 ) & ( 7.490662574768066 < 6.501897811889648 )
EleutherAI/pythia-70m,npi_src_any.json,18,( 4.949230670928955 < 5.550895690917969 ) & ( 4.345085144042969 < 4.330355167388916 ) & ( 4.949230670928955 < 4.330355167388916 )
EleutherAI/pythia-70m,npi_src_any.json,19,( 5.273924827575684 < 6.4339704513549805 ) & ( 4.233404159545898 < 4.206907749176025 ) & ( 5.273924827575684 < 4.206907749176025 )
EleutherAI/pythia-70m,npi_src_any.json,20,( 5.945184707641602 < 7.571216583251953 ) & ( 3.761298179626465 < 3.5816729068756104 ) & ( 5.945184707641602 < 3.5816729068756104 )
EleutherAI/pythia-70m,npi_src_any.json,21,( 7.611050605773926 < 8.523642539978027 ) & ( 4.577363014221191 < 5.020293235778809 ) & ( 7.611050605773926 < 5.020293235778809 )
EleutherAI/pythia-70m,npi_src_any.json,22,( 6.778716564178467 < 7.893204689025879 ) & ( 5.395069599151611 < 6.149367809295654 ) & ( 6.778716564178467 < 6.149367809295654 )
EleutherAI/pythia-70m,npi_src_any.json,23,( 5.990921974182129 < 6.571097373962402 ) & ( 3.712064743041992 < 3.7079055309295654 ) & ( 5.990921974182129 < 3.7079055309295654 )
EleutherAI/pythia-70m,npi_src_any.json,24,( 5.566784381866455 < 7.438500881195068 ) & ( 2.774411201477051 < 2.451819658279419 ) & ( 5.566784381866455 < 2.451819658279419 )
EleutherAI/pythia-70m,npi_src_any.json,25,( 6.479713439941406 < 7.195562362670898 ) & ( 3.683659791946411 < 3.8271541595458984 ) & ( 6.479713439941406 < 3.8271541595458984 )
EleutherAI/pythia-70m,npi_src_any.json,26,( 5.547229290008545 < 6.725555419921875 ) & ( 3.987489700317383 < 4.561529636383057 ) & ( 5.547229290008545 < 4.561529636383057 )
EleutherAI/pythia-70m,npi_src_any.json,27,( 6.880835056304932 < 8.003002166748047 ) & ( 5.345258712768555 < 6.131534576416016 ) & ( 6.880835056304932 < 6.131534576416016 )
EleutherAI/pythia-70m,npi_src_any.json,28,( 5.755809783935547 < 6.550384044647217 ) & ( 3.7911324501037598 < 4.244051456451416 ) & ( 5.755809783935547 < 4.244051456451416 )
EleutherAI/pythia-70m,npi_src_any.json,29,( 4.5699872970581055 < 5.36883020401001 ) & ( 3.4932703971862793 < 3.5276637077331543 ) & ( 4.5699872970581055 < 3.5276637077331543 )
EleutherAI/pythia-70m,npi_src_any.json,30,( 6.28635835647583 < 7.514766693115234 ) & ( 4.792097568511963 < 4.945729732513428 ) & ( 6.28635835647583 < 4.945729732513428 )
EleutherAI/pythia-70m,npi_src_any.json,31,( 6.678721904754639 < 7.299978733062744 ) & ( 4.563817977905273 < 4.841203212738037 ) & ( 6.678721904754639 < 4.841203212738037 )
EleutherAI/pythia-70m,npi_src_any.json,32,( 6.709060192108154 < 7.8682475090026855 ) & ( 4.812383651733398 < 5.012290954589844 ) & ( 6.709060192108154 < 5.012290954589844 )
EleutherAI/pythia-70m,npi_src_any.json,33,( 4.890167236328125 < 6.1530280113220215 ) & ( 3.098621368408203 < 3.8604769706726074 ) & ( 4.890167236328125 < 3.8604769706726074 )
EleutherAI/pythia-70m,npi_src_any.json,34,( 3.8284926414489746 < 5.720017910003662 ) & ( 2.3459200859069824 < 3.4261722564697266 ) & ( 3.8284926414489746 < 3.4261722564697266 )
EleutherAI/pythia-70m,npi_src_any.json,35,( 6.9773640632629395 < 7.847174644470215 ) & ( 4.6366167068481445 < 4.778897285461426 ) & ( 6.9773640632629395 < 4.778897285461426 )
EleutherAI/pythia-70m,npi_src_any.json,36,( 7.029953956604004 < 8.054853439331055 ) & ( 5.138197422027588 < 5.832330226898193 ) & ( 7.029953956604004 < 5.832330226898193 )
EleutherAI/pythia-70m,npi_src_any.json,37,( 4.99729061126709 < 5.5054192543029785 ) & ( 4.101978302001953 < 4.053441524505615 ) & ( 4.99729061126709 < 4.053441524505615 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,1,( 6.520479202270508 < 5.640718460083008 ) & ( 6.011415481567383 < 6.041688919067383 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,2,( 8.436538696289062 < 7.733779430389404 ) & ( 5.643243789672852 < 8.196954727172852 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,3,( 9.510558128356934 < 7.867735385894775 ) & ( 6.566749572753906 < 10.749000549316406 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,4,( 6.241818428039551 < 4.364377021789551 ) & ( 2.4022064208984375 < 7.1270599365234375 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,5,( 5.450562000274658 < 5.281006336212158 ) & ( 2.3971102237701416 < 6.6275787353515625 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,6,( 6.7505388259887695 < 5.1580095291137695 ) & ( 4.269711017608643 < 7.032894611358643 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,7,( 9.60496711730957 < 8.21617317199707 ) & ( 7.337589740753174 < 10.818180084228516 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,10,( 9.711941719055176 < 8.375882148742676 ) & ( 8.173766136169434 < 9.668761253356934 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,11,( 7.348759651184082 < 4.008427619934082 ) & ( 4.834892749786377 < 10.000541687011719 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,13,( 7.890072822570801 < 6.360287666320801 ) & ( 5.131507873535156 < 7.593177795410156 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,15,( 8.117715835571289 < 7.088907718658447 ) & ( 4.511031627655029 < 9.169235229492188 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,16,( 7.617547035217285 < 6.689568519592285 ) & ( 5.647361755371094 < 7.943504333496094 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,17,( 11.263528823852539 < 9.047952651977539 ) & ( 8.549307823181152 < 11.511832237243652 )
EleutherAI/pythia-70m,reflexive_prep_fem.json,19,( 4.805134296417236 < 4.474079608917236 ) & ( 2.691565752029419 < 5.307654857635498 )
EleutherAI/pythia-70m,fgd-embed3.json,2,(11.772782564163208>11.855102300643921) & (13.004425764083862<12.9210364818573)
EleutherAI/pythia-70m,fgd-embed3.json,3,(9.063239097595215>9.269081115722656) & (12.799471616744995<12.92263126373291)
EleutherAI/pythia-70m,fgd-embed3.json,4,(6.137584209442139>6.291332840919495) & (11.89961376786232<12.039248824119568)
EleutherAI/pythia-70m,fgd-embed3.json,5,(6.996407628059387>7.0895726680755615) & (13.551291108131409<13.715241253376007)
EleutherAI/pythia-70m,fgd-embed3.json,7,(8.466830730438232>8.152210712432861) & (9.653837203979492<9.342974185943604)
EleutherAI/pythia-70m,fgd-embed3.json,9,(11.35211992263794>11.462222576141357) & (16.96335732936859<17.02957832813263)
EleutherAI/pythia-70m,fgd-embed3.json,10,(6.504945516586304>6.362147331237793) & (11.991650342941284<11.582287549972534)
EleutherAI/pythia-70m,fgd-embed3.json,11,(8.663495779037476>8.782412767410278) & (21.265846252441406<21.482300758361816)
EleutherAI/pythia-70m,fgd-embed3.json,14,(11.354767560958862>11.335600137710571) & (14.550726175308228<14.361981868743896)
EleutherAI/pythia-70m,fgd-embed3.json,15,(12.283679008483887>12.42540979385376) & (11.103188335895538<11.013283848762512)
EleutherAI/pythia-70m,fgd-embed3.json,16,(14.958848237991333>14.652066707611084) & (9.870787143707275<9.630667567253113)
EleutherAI/pythia-70m,fgd-embed3.json,17,(14.527271747589111>14.417680978775024) & (14.807931423187256<14.57024598121643)
EleutherAI/pythia-70m,fgd-embed3.json,19,(12.09822341799736>12.319906696677208) & (11.918592065572739<12.802119314670563)
EleutherAI/pythia-70m,fgd-embed3.json,20,(7.345124244689941>6.696170926094055) & (9.618820071220398<9.467204213142395)
EleutherAI/pythia-70m,fgd-embed3.json,21,(10.55437421798706>10.808485746383667) & (13.306051015853882<13.32641077041626)
EleutherAI/pythia-70m,subordination.json,1,(8.849863052368164 > 8.888992309570312 ) & (32.771232426166534 < 35.21382728219032 )
EleutherAI/pythia-70m,subordination.json,3,(7.840749740600586 > 8.07953929901123 ) & (30.317523658275604 < 30.44864648580551 )
EleutherAI/pythia-70m,subordination.json,4,(7.645075798034668 > 8.160893440246582 ) & (31.27841854840517 < 33.351495172828436 )
EleutherAI/pythia-70m,subordination.json,5,(8.214249610900879 > 8.44053840637207 ) & (38.07272815704346 < 39.67169415950775 )
EleutherAI/pythia-70m,subordination.json,6,(8.986623764038086 > 9.1087646484375 ) & (48.04483616352081 < 48.312336921691895 )
EleutherAI/pythia-70m,subordination.json,9,(9.435749053955078 > 9.705728530883789 ) & (43.73513865470886 < 45.952070474624634 )
EleutherAI/pythia-70m,subordination.json,10,(8.378571510314941 > 9.072443962097168 ) & (30.311708331108093 < 33.93042230606079 )
EleutherAI/pythia-70m,subordination.json,11,(9.550806045532227 > 9.649518966674805 ) & (35.43515992164612 < 35.64130210876465 )
EleutherAI/pythia-70m,subordination.json,12,(8.540911674499512 > 9.179749488830566 ) & (29.40510320663452 < 31.066861428320408 )
EleutherAI/pythia-70m,subordination.json,13,(10.269828796386719 > 10.315853118896484 ) & (38.18013155460358 < 38.31496238708496 )
EleutherAI/pythia-70m,subordination.json,15,(8.22322940826416 > 8.84592342376709 ) & (39.73188531398773 < 41.25159025192261 )
EleutherAI/pythia-70m,subordination.json,16,(8.377208709716797 > 9.472641944885254 ) & (31.702229142189026 < 37.189810797572136 )
EleutherAI/pythia-70m,subordination.json,17,(8.338765144348145 > 9.241750717163086 ) & (31.269142985343933 < 35.586023807525635 )
EleutherAI/pythia-70m,subordination.json,18,(8.389265060424805 > 8.656824111938477 ) & (41.6305378950201 < 43.311533586122096 )
EleutherAI/pythia-70m,subordination.json,19,(8.835695266723633 > 9.096040725708008 ) & (38.11620581150055 < 38.32891821861267 )
EleutherAI/pythia-70m,subordination.json,20,(9.766948699951172 > 8.906047821044922 ) & (41.18548095226288 < 38.070924043655396 )
EleutherAI/pythia-70m,subordination.json,21,(8.727349281311035 > 8.437090873718262 ) & (48.19604516029358 < 48.16755962371826 )
EleutherAI/pythia-70m,reflexive_prep_masc.json,1,( 4.486421585083008 < 5.640718460083008 ) & ( 6.011415481567383 < 4.013612747192383 )
EleutherAI/pythia-70m,reflexive_prep_masc.json,6,( 5.6565446853637695 < 5.1580095291137695 ) & ( 4.269711017608643 < 6.964046955108643 )
EleutherAI/pythia-70m,reflexive_prep_masc.json,10,( 7.694607734680176 < 8.375882148742676 ) & ( 8.173766136169434 < 7.394957542419434 )
EleutherAI/pythia-70m,reflexive_prep_masc.json,11,( 4.196782112121582 < 4.008427619934082 ) & ( 4.834892749786377 < 7.201591968536377 )
EleutherAI/pythia-70m,cleft_modifier.json,2,(13.938900232315063-13.198930740356445)+((12.72127914428711+11.21681261062622)-(13.390249252319336+11.878297805786133))>0
EleutherAI/pythia-70m,cleft_modifier.json,6,(8.010952234268188-9.013222217559814)+((10.511451721191406+4.3994070291519165)-(10.559123039245605+4.005255818367004))>0
EleutherAI/pythia-70m,cleft_modifier.json,28,(14.576832056045532-14.571553945541382)+((9.454935073852539+16.54470682144165)-(9.999309539794922+16.643797397613525))>0
EleutherAI/pythia-70m,cleft_modifier.json,36,(13.700653791427612-13.535446882247925)+((13.051848411560059+14.45472002029419)-(13.473005294799805+14.748639106750488))>0
EleutherAI/pythia-70m,cleft_modifier.json,39,(11.922985315322876-13.292726039886475)+((3.8317067623138428+14.013227939605713)-(4.839576721191406+13.261772632598877))>0
EleutherAI/pythia-70m,cleft_modifier.json,40,(10.817507266998291-10.431479692459106)+((11.241969108581543+12.62785291671753)-(11.14883804321289+13.111023902893066))>0
EleutherAI/pythia-70m,fgd_subject.json,1,(15.571794033050537 > 15.72031545639038 ) & (10.076821327209473 < 13.031389236450195 ) 
EleutherAI/pythia-70m,fgd_subject.json,4,(12.475233554840088 > 14.037083625793457 ) & (8.342015266418457 < 11.036130905151367 ) 
EleutherAI/pythia-70m,fgd_subject.json,5,(19.25120973587036 > 21.198489904403687 ) & (8.326641082763672 < 13.340012550354004 ) 
EleutherAI/pythia-70m,fgd_subject.json,6,(15.217175006866455 > 15.487207412719727 ) & (11.467443466186523 < 13.212902069091797 ) 
EleutherAI/pythia-70m,fgd_subject.json,9,(15.991600036621094 > 19.320395469665527 ) & (17.854372024536133 < 19.201157569885254 ) 
EleutherAI/pythia-70m,fgd_subject.json,10,(14.309950828552246 > 17.138685703277588 ) & (14.418947696685791 < 18.2424076795578 ) 
EleutherAI/pythia-70m,fgd_subject.json,13,(12.066210269927979 > 12.179431438446045 ) & (16.86215829849243 < 24.442984580993652 ) 
EleutherAI/pythia-70m,fgd_subject.json,24,(14.943331956863403 > 15.749261856079102 ) & (5.647261619567871 < 9.72607707977295 ) 
EleutherAI/pythia-70m,mvrr.json,5,(8.75090217590332 > 2.9088897705078125) & (8.75090217590332 > 8.75090217590332) & ((8.75090217590332 - 2.9088897705078125) > (8.75090217590332 - 2.9088897705078125))
EleutherAI/pythia-70m,mvrr.json,12,(16.75940704345703 > 13.64461898803711) & (16.75940704345703 > 16.025800704956055) & ((16.75940704345703 - 13.64461898803711) > (16.025800704956055 - 12.403118133544922))
EleutherAI/pythia-70m,mvrr.json,14,(14.716711044311523 > 14.513057708740234) & (14.716711044311523 > 15.257827758789062) & ((14.716711044311523 - 14.513057708740234) > (15.257827758789062 - 14.324291229248047))
EleutherAI/pythia-70m,mvrr.json,15,(10.132331848144531 > 10.446176528930664) & (10.132331848144531 > 10.104660034179688) & ((10.132331848144531 - 10.446176528930664) > (10.104660034179688 - 10.470361709594727))
EleutherAI/pythia-70m,mvrr.json,17,(7.918148994445801 > 4.87468147277832) & (7.918148994445801 > 6.731884002685547) & ((7.918148994445801 - 4.87468147277832) > (6.731884002685547 - 3.526561737060547))
EleutherAI/pythia-70m,mvrr.json,19,(12.486412048339844 > 12.25227165222168) & (12.486412048339844 > 11.604642868041992) & ((12.486412048339844 - 12.25227165222168) > (11.604642868041992 - 11.251724243164062))
EleutherAI/pythia-70m,mvrr.json,23,(8.581769943237305 > 6.106265544891357) & (8.581769943237305 > 8.621088027954102) & ((8.581769943237305 - 6.106265544891357) > (8.621088027954102 - 5.862238883972168))
EleutherAI/pythia-70m,npi_src_ever.json,1,( 6.154931545257568 < 8.36734390258789 ) & ( 2.9670023918151855 < 3.6206462383270264 ) & ( 6.154931545257568 < 3.6206462383270264 )
EleutherAI/pythia-70m,npi_src_ever.json,2,( 5.237304210662842 < 7.937434196472168 ) & ( 3.0781259536743164 < 4.493200302124023 ) & ( 5.237304210662842 < 4.493200302124023 )
EleutherAI/pythia-70m,npi_src_ever.json,3,( 4.963335990905762 < 6.477906703948975 ) & ( 2.180572032928467 < 2.9169626235961914 ) & ( 4.963335990905762 < 2.9169626235961914 )
EleutherAI/pythia-70m,npi_src_ever.json,4,( 5.75388240814209 < 8.353495597839355 ) & ( 3.305650234222412 < 3.5816147327423096 ) & ( 5.75388240814209 < 3.5816147327423096 )
EleutherAI/pythia-70m,npi_src_ever.json,5,( 5.647554397583008 < 7.848921775817871 ) & ( 1.9442358016967773 < 3.0926036834716797 ) & ( 5.647554397583008 < 3.0926036834716797 )
EleutherAI/pythia-70m,npi_src_ever.json,6,( 5.816559314727783 < 7.942181587219238 ) & ( 2.4997029304504395 < 3.500936508178711 ) & ( 5.816559314727783 < 3.500936508178711 )
EleutherAI/pythia-70m,npi_src_ever.json,7,( 5.429373264312744 < 7.938105583190918 ) & ( 2.961883783340454 < 4.33037805557251 ) & ( 5.429373264312744 < 4.33037805557251 )
EleutherAI/pythia-70m,npi_src_ever.json,8,( 5.476901531219482 < 6.912701606750488 ) & ( 2.66526460647583 < 3.0748143196105957 ) & ( 5.476901531219482 < 3.0748143196105957 )
EleutherAI/pythia-70m,npi_src_ever.json,9,( 5.653318405151367 < 7.698540210723877 ) & ( 3.742513418197632 < 4.892251491546631 ) & ( 5.653318405151367 < 4.892251491546631 )
EleutherAI/pythia-70m,npi_src_ever.json,11,( 5.920408248901367 < 7.894713401794434 ) & ( 2.7012805938720703 < 3.2976224422454834 ) & ( 5.920408248901367 < 3.2976224422454834 )
EleutherAI/pythia-70m,npi_src_ever.json,12,( 6.434917449951172 < 9.631021499633789 ) & ( 3.3613758087158203 < 5.164089202880859 ) & ( 6.434917449951172 < 5.164089202880859 )
EleutherAI/pythia-70m,npi_src_ever.json,13,( 4.92849063873291 < 6.469331741333008 ) & ( 2.1338722705841064 < 2.490029811859131 ) & ( 4.92849063873291 < 2.490029811859131 )
EleutherAI/pythia-70m,npi_src_ever.json,14,( 6.935436725616455 < 9.051405906677246 ) & ( 3.171804904937744 < 4.208796501159668 ) & ( 6.935436725616455 < 4.208796501159668 )
EleutherAI/pythia-70m,npi_src_ever.json,15,( 5.145687103271484 < 7.397154808044434 ) & ( 1.929748296737671 < 3.1360340118408203 ) & ( 5.145687103271484 < 3.1360340118408203 )
EleutherAI/pythia-70m,npi_src_ever.json,16,( 5.8858489990234375 < 8.249056816101074 ) & ( 2.7704837322235107 < 3.456747531890869 ) & ( 5.8858489990234375 < 3.456747531890869 )
EleutherAI/pythia-70m,npi_src_ever.json,17,( 6.483833312988281 < 8.935834884643555 ) & ( 3.661133050918579 < 5.496617794036865 ) & ( 6.483833312988281 < 5.496617794036865 )
EleutherAI/pythia-70m,npi_src_ever.json,18,( 5.26576566696167 < 6.564608573913574 ) & ( 2.2780580520629883 < 2.628528594970703 ) & ( 5.26576566696167 < 2.628528594970703 )
